TrialSequence;TrialName;TrialDuration;TrialStartingTime;TrialID;FixationCount;FixationCountPerSec;FixationDurationMean;FixationDurationMedian;SaccadeRatio;SaccadeLengthAverage;SaccadeVelocityPixPerSec;FixationConnectionLength;PathVelocityPixPerSec;Snippet;Indentation;SubjectID
0;Program0.jpg;50338;0;8;194;3.8539470000000002;160.3608247423;144.5;618.0221701299;168.0994;2.3576669999999997;32443.19;644.5069;Program;Indent0;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
1;Main2.jpg;60360;50338;5;212;3.51226;157.19339622639998;135.5;552.1040424122;176.67700000000002;2.298222;37278.84;617.6083;Main;Indent2;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
2;Test8.jpg;54686;110698;15;208;3.8035330000000003;147.86057692309998;128.5;562.3925684819001;168.49099999999999;2.222327;34877.64;637.78;Test;Indent8;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
3;Do4.jpg;45509;165384;2;170;3.735525;172.9352941176;148.5;646.0040871037;136.474;2.086138;23064.11;506.8033;Do;Indent4;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
0;Do0.jpg;131488;0;0;119;0.9050254999999999;166.7226890756;91.0;150.8882939888;183.1727;0.9487938;21614.37;164.3829;Do;Indent0;0b38aa57-8d66-46be-bfb8-573ab548703a
1;Test8.jpg;148855;131488;15;155;1.041282;181.43225806450002;153.0;188.9221054046;136.4675;1.8752;21015.99;141.1843;Test;Indent8;0b38aa57-8d66-46be-bfb8-573ab548703a
2;Main2.jpg;227418;280343;5;219;0.9629844000000001;173.54337899540002;122.0;167.1195771663;196.4004;1.520302;42815.28;188.2669;Main;Indent2;0b38aa57-8d66-46be-bfb8-573ab548703a
3;Program4.jpg;242008;507761;10;284;1.1735149999999999;267.8345070423;150.0;314.307791478;131.8724;1.817939;37319.89;154.2093;Program;Indent4;0b38aa57-8d66-46be-bfb8-573ab548703a
0;Do4.jpg;126295;0;2;404;3.19886;239.87871287130002;194.0;767.3383744408001;106.8817;2.254092;43073.34;341.0534;Do;Indent4;2a020c38-c194-4a9e-9c74-d20a3c303cec
1;Test0.jpg;129824;126295;12;477;3.674205;196.4109014675;174.0;721.6539314764999;120.9294;2.246826;57562.4;443.38800000000003;Test;Indent0;2a020c38-c194-4a9e-9c74-d20a3c303cec
2;Program8.jpg;209426;256119;11;681;3.251745;229.97797356830003;181.0;747.8297823575;116.3261;2.157452;79101.75;377.7074;Program;Indent8;2a020c38-c194-4a9e-9c74-d20a3c303cec
3;Main2.jpg;248497;465545;5;860;3.460806;207.6965116279;166.0;718.7974100291001;149.4369;2.440403;128366.3;516.5709;Main;Indent2;2a020c38-c194-4a9e-9c74-d20a3c303cec
0;Do4.jpg;96837;0;2;315;3.252889;214.3873015873;157.0;697.3780683003;124.271;2.05355;39021.11;402.9566;Do;Indent4;db813ec1-a4b3-459b-8fe5-f7922f07c48a
1;Program8.jpg;281004;96837;11;923;3.284651;212.10617551459998;151.0;696.6947089721001;114.0512;1.904596;105155.2;374.2126;Program;Indent8;db813ec1-a4b3-459b-8fe5-f7922f07c48a
2;Test0.jpg;85288;377841;12;233;2.73192;161.13304721030002;120.0;440.2026076353;165.12;1.703086;38307.84;449.1587;Test;Indent0;db813ec1-a4b3-459b-8fe5-f7922f07c48a
3;Main2.jpg;153070;463129;5;533;3.482067;172.52720450279998;135.0;600.7512902594;126.0134;1.736768;67039.14;437.9639;Main;Indent2;db813ec1-a4b3-459b-8fe5-f7922f07c48a
0;Main8.jpg;83380;0;7;289;3.4660589999999996;166.51211072659999;125.0;577.1408011514;203.5668;2.378875;58627.24;703.1332;Main;Indent8;deb2daed-9b19-4b16-8d73-19782d99f1be
1;Do4.jpg;83100;83380;2;229;2.755716;179.70742358080003;148.0;495.2226233454;192.0059;2.09475;43777.34;526.8032;Do;Indent4;deb2daed-9b19-4b16-8d73-19782d99f1be
2;Program0.jpg;96371;166480;8;281;2.9158150000000003;186.4697508897;135.0;543.7112824397;185.6737;1.953758;51988.63;539.4634;Program;Indent0;deb2daed-9b19-4b16-8d73-19782d99f1be
3;Test2.jpg;99387;262851;13;325;3.270045;188.1784615385;137.0;615.3521084246;161.4525;2.086203;52310.6;526.3324;Test;Indent2;deb2daed-9b19-4b16-8d73-19782d99f1be
0;Program2.jpg;90897;0;9;342;3.7625010000000003;191.67543859650002;168.0;721.1789167958999;121.5649;2.783741;41453.65;456.0508;Program;Indent2;2d5a163b-7255-40f4-a466-fda7fda39b57
1;Main8.jpg;102491;90897;7;400;3.9027819999999998;185.585;163.0;724.2977432165;135.2043;2.786943;53946.52;526.3537;Main;Indent8;2d5a163b-7255-40f4-a466-fda7fda39b57
2;Test0.jpg;92324;193388;12;365;3.953468;181.80821917810002;162.0;718.773016767;129.6586;2.714881;47195.72;511.1967;Test;Indent0;2d5a163b-7255-40f4-a466-fda7fda39b57
3;Do4.jpg;149397;285712;2;589;3.9425160000000004;186.3548387097;168.0;734.70685489;132.2095;2.734714;77739.2;520.3531;Do;Indent4;2d5a163b-7255-40f4-a466-fda7fda39b57
0;Do4.jpg;90235;0;2;328;3.634953;176.15853658540001;148.5;640.3280323599;155.19799999999998;2.3100650000000003;50749.74;562.4175;Do;Indent4;e2f1a12c-0c6c-4377-9cb3-7900e161543e
1;Program2.jpg;66059;90235;9;192;2.906493;240.6614583333;152.0;699.480767193;162.5059;2.322867;31038.62;469.8621;Program;Indent2;e2f1a12c-0c6c-4377-9cb3-7900e161543e
2;Main0.jpg;85153;156294;4;321;3.769685;177.3925233645;149.0;668.7139619274;157.8018;2.383485;50496.59;593.0101;Main;Indent0;e2f1a12c-0c6c-4377-9cb3-7900e161543e
3;Test8.jpg;49572;241447;15;197;3.974018;172.19796954310002;135.0;684.3177600258;153.7589;2.123533;30136.75;607.9389;Test;Indent8;e2f1a12c-0c6c-4377-9cb3-7900e161543e
0;Do0.jpg;126758;0;0;229;1.8065919999999998;154.7903930131;118.0;279.6430994493;152.0976;1.6134959999999998;34678.25;273.5784;Do;Indent0;340b02c1-6d18-472e-a606-6691e455637d
