Number;Snippet;Indentation;Result;Time;TimeOut;SubjectID;RightAnswerGiven;Difficulty
0;Do;0;8;124860;False;0b38aa57-8d66-46be-bfb8-573ab548703a;yes;0
1;Test;8;4;126531;False;0b38aa57-8d66-46be-bfb8-573ab548703a;yes;1
2;Main;2;xomoxoxoo;243026;False;0b38aa57-8d66-46be-bfb8-573ab548703a;yes;2
3;Program;4;27;243800;False;0b38aa57-8d66-46be-bfb8-573ab548703a;yes;3
0;Do;4;1;120877;False;2a020c38-c194-4a9e-9c74-d20a3c303cec;no;2
1;Test;0;3;126287;False;2a020c38-c194-4a9e-9c74-d20a3c303cec;no;3
2;Program;8;27;206212;False;2a020c38-c194-4a9e-9c74-d20a3c303cec;yes;0
3;Main;2;xomoxoxoo;248526;False;2a020c38-c194-4a9e-9c74-d20a3c303cec;yes;1
0;Program;2;20;86656;False;2d5a163b-7255-40f4-a466-fda7fda39b57;no;2
1;Main;8;xmmmm;99174;False;2d5a163b-7255-40f4-a466-fda7fda39b57;no;3
2;Test;0;4;88730;False;2d5a163b-7255-40f4-a466-fda7fda39b57;yes;0
3;Do;4;8;149454;False;2d5a163b-7255-40f4-a466-fda7fda39b57;yes;1
0;Do;0;8;119765;False;340b02c1-6d18-472e-a606-6691e455637d;yes;2
1;Program;4;27;124352;False;340b02c1-6d18-472e-a606-6691e455637d;yes;3
2;Main;8;xomoxoxoo;117414;False;340b02c1-6d18-472e-a606-6691e455637d;yes;1
3;Test;2;4;108923;False;340b02c1-6d18-472e-a606-6691e455637d;yes;0
0;Test;4;3 4 2 13;50283;False;3432f575-9d7d-4600-a52b-cf682c33c2d7;no;2
1;Program;0;11;39917;False;3432f575-9d7d-4600-a52b-cf682c33c2d7;no;1
2;Do;2;8;85991;False;3432f575-9d7d-4600-a52b-cf682c33c2d7;yes;0
3;Main;8;xomo;73447;False;3432f575-9d7d-4600-a52b-cf682c33c2d7;no;3
0;Do;0;8;53171;False;3a03db20-3ac0-4220-8a6f-ebb73f052032;yes;0
1;Program;2;27;56504;False;3a03db20-3ac0-4220-8a6f-ebb73f052032;yes;2
2;Main;4;xomoxoxoo;69382;False;3a03db20-3ac0-4220-8a6f-ebb73f052032;yes;3
3;Test;8;4;54535;False;3a03db20-3ac0-4220-8a6f-ebb73f052032;yes;1
0;Test;2;3;70958;False;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;no;1
1;Program;0;11;81995;False;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;no;2
2;Main;4;xomoxoxoo;94412;False;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;yes;0
3;Do;8;-1;83513;False;43b0c8d4-67e3-4cbd-b469-7c75d69c0d5d;no;3
0;Main;4;xmxxo;170011;False;657cdd6f-3b1b-4211-95cf-e6b348f17525;no;3
1;Program;2;123;73809;False;657cdd6f-3b1b-4211-95cf-e6b348f17525;no;2
2;Test;8;4;67777;False;657cdd6f-3b1b-4211-95cf-e6b348f17525;yes;1
3;Do;0;8;62807;False;657cdd6f-3b1b-4211-95cf-e6b348f17525;yes;0
0;Program;2;27;96486;False;79b33ae4-e339-4191-af55-ddbcc2be341a;yes;2
1;Main;8;xomoxoxo;79071;False;79b33ae4-e339-4191-af55-ddbcc2be341a;no;3
2;Do;4;8;68572;False;79b33ae4-e339-4191-af55-ddbcc2be341a;yes;0
3;Test;0;4;74272;False;79b33ae4-e339-4191-af55-ddbcc2be341a;yes;1
0;Program;4;21;119029;False;83f51366-0cb7-42d4-8272-6c42d820419d;no;2
1;Main;8;xooxox;142301;False;83f51366-0cb7-42d4-8272-6c42d820419d;no;3
2;Test;0;5;104489;False;83f51366-0cb7-42d4-8272-6c42d820419d;no;1
3;Do;2;-12;96567;False;83f51366-0cb7-42d4-8272-6c42d820419d;no;0
0;Test;8;4;62044;False;963b71f8-bc8c-426b-a943-f899fb83dac9;yes;0
1;Program;4;11;89387;False;963b71f8-bc8c-426b-a943-f899fb83dac9;no;3
2;Do;2;8;89094;False;963b71f8-bc8c-426b-a943-f899fb83dac9;yes;1
3;Main;0;xomoxoxoo;113872;False;963b71f8-bc8c-426b-a943-f899fb83dac9;yes;2
0;Test;4;4;135797;False;9c9cac0d-637b-47b6-970a-3d7891597082;yes;0
1;Main;2;xmmmmo;138904;False;9c9cac0d-637b-47b6-970a-3d7891597082;no;3
2;Program;8;27;202216;False;9c9cac0d-637b-47b6-970a-3d7891597082;yes;1
3;Do;0;8;271698;False;9c9cac0d-637b-47b6-970a-3d7891597082;yes;2
0;Main;2;xomoxooo;158105;False;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;no;3
1;Test;8;4;144232;False;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;yes;1
2;Do;0;8;113761;False;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;yes;0
3;Program;4;27;173580;False;a4cd1a8d-df39-4a5d-ba15-cf2fdcd27948;yes;2
0;Test;8;1 2 3;86644;False;a8274994-925c-4bf4-bfee-6a2318a0ae79;no;3
1;Main;0;xomoxoxoo;117803;False;a8274994-925c-4bf4-bfee-6a2318a0ae79;yes;2
2;Program;2;27;100884;False;a8274994-925c-4bf4-bfee-6a2318a0ae79;yes;1
3;Do;4;8;68894;False;a8274994-925c-4bf4-bfee-6a2318a0ae79;yes;0
0;Main;0;xomoxoxoo;97855;False;afec3d90-808c-4c50-b759-535754388ceb;yes;2
1;Do;8;8;62873;False;afec3d90-808c-4c50-b759-535754388ceb;yes;0
2;Test;4;4;74171;False;afec3d90-808c-4c50-b759-535754388ceb;yes;1
3;Program;2;27;108413;False;afec3d90-808c-4c50-b759-535754388ceb;yes;3
0;Program;2;6;98528;False;b2086a14-44bf-4a26-8261-f2679230b9a8;no;3
1;Main;0;xomoxoxoo;102166;False;b2086a14-44bf-4a26-8261-f2679230b9a8;yes;2
2;Test;4;4;95629;False;b2086a14-44bf-4a26-8261-f2679230b9a8;yes;1
3;Do;8;8;73311;False;b2086a14-44bf-4a26-8261-f2679230b9a8;yes;0
0;Main;4;xomoxoxoo;115363;False;bc09646b-dfee-4aac-8918-eee34b72ef2b;yes;1
1;Do;8;20;128736;False;bc09646b-dfee-4aac-8918-eee34b72ef2b;no;3
2;Test;0;4;92814;False;bc09646b-dfee-4aac-8918-eee34b72ef2b;yes;0
3;Program;2;27;120927;False;bc09646b-dfee-4aac-8918-eee34b72ef2b;yes;2
