SubjectName;FixationCount;FixationCountPerSec;FixationDurationMean;FixationDurationMedian;SaccadeRatio;SaccadeLengthAverage;TrialSequence;TrialID;TrialName;Column1;Snippet;Indentation;SubjectID
dny;289.0;3466059.0;166512000000000.0;125.0;577141000000000.0;2035668.0;0.0;7.0;Main8.jpg;;Main;Indent 8;deb2daed-9b19-4b16-8d73-19782d99f1be
dny;229.0;2755716.0;179707000000000.0;148.0;495223000000000.0;1920059.0;1.0;2.0;Do4.jpg;;Do;Indent 4;deb2daed-9b19-4b16-8d73-19782d99f1be
dny;281.0;2915815.0;18647000000000.0;135.0;543711000000000.0;1856737.0;2.0;8.0;Program0.jpg;;Program;Indent 0;deb2daed-9b19-4b16-8d73-19782d99f1be
dny;325.0;3270045.0;188178000000000.0;137.0;615352000000000.0;1614525.0;3.0;13.0;Test2.jpg;;Test;Indent 2;deb2daed-9b19-4b16-8d73-19782d99f1be
dry;434.0;3488606.0;185645000000000.0;151.0;647643000000000.0;1156474.0;0.0;10.0;Program4.jpg;;Program;Indent 4;83f51366-0cb7-42d4-8272-6c42d820419d
dry;494.0;3381662.0;184038000000000.0;150.0;622356000000000.0;113485.0;1.0;7.0;Main8.jpg;;Main;Indent 8;83f51366-0cb7-42d4-8272-6c42d820419d
dry;403.0;3683426.0;17160800000000.0;135.0;632105000000000.0;1252785.0;2.0;12.0;Test0.jpg;;Test;Indent 0;83f51366-0cb7-42d4-8272-6c42d820419d
dry;340.0;3521455.0;196588000000000.0;1625.0;692277000000000.0;1264742.0;3.0;1.0;Do2.jpg;;Do;Indent 2;83f51366-0cb7-42d4-8272-6c42d820419d
dy;270.0;2975797.0;263304000000000.0;2095.0;783538000000000.0;1597534.0;0.0;13.0;Test2.jpg;;Test;Indent 2;08ca789b-fdb3-466d-97ff-986de9d1b8c8
dy;343.0;3012789.0;257344000000000.0;209.0;775323000000000.0;1552022.0;1.0;4.0;Main0.jpg;;Main;Indent 0;08ca789b-fdb3-466d-97ff-986de9d1b8c8
dy;384.0;2865608.0;276076000000000.0;225.0;791124000000000.0;1452924.0;2.0;10.0;Program4.jpg;;Program;Indent 4;08ca789b-fdb3-466d-97ff-986de9d1b8c8
dy;300.0;3175578.0;25575.0;2235.0;812154000000000.0;1587745.0;3.0;3.0;Do8.jpg;;Do;Indent 8;08ca789b-fdb3-466d-97ff-986de9d1b8c8
ej;119.0;9050255.0;16672300000000.0;91.0;150888000000000.0;1831727.0;0.0;0.0;Do0.jpg;;Do;Indent 0;0b38aa57-8d66-46be-bfb8-573ab548703a
ej;155.0;1041282.0;181432000000000.0;153.0;188922000000000.0;1364675.0;1.0;15.0;Test8.jpg;;Test;Indent 8;0b38aa57-8d66-46be-bfb8-573ab548703a
ej;219.0;9629844.0;173543000000000.0;122.0;167120000000000.0;1964004.0;2.0;5.0;Main2.jpg;;Main;Indent 2;0b38aa57-8d66-46be-bfb8-573ab548703a
ej;284.0;1173515.0;267835000000000.0;150.0;314308000000000.0;1318724.0;3.0;10.0;Program4.jpg;;Program;Indent 4;0b38aa57-8d66-46be-bfb8-573ab548703a
ejj;217.0;3341392.0;211590000000000.0;151.0;707005000000000.0;1571013.0;0.0;15.0;Test8.jpg;;Test;Indent 8;963b71f8-bc8c-426b-a943-f899fb83dac9
