Age;Gender;Glasses;EyeProblems;Job;Education;NrFalseInputs_generalQuestions;Semester;FreeTime;SideJob;NrFalseInputs_studentQuestions;JavaExperience;OverallExperienc;OtherLanguages;BiggestProjectPart;BiggestProjectRead;BiggestProjectDone;JavaKnowledge;LastTimeJava;NrFalseInputs_progQuestions;WarmUpResult;Serious;Distract;Fun;NrFalseInputs_finalQuestions;SubjectID;Difficulty;RatingEqual;RatingReal;Appearance;Dist_DR;Dist_DE;Dist_ER;Dist_AD;Dist_AE;Dist_AR
1995;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;6;10;Werkstudent;0;7;10;Python C C++ TypeScript;15000;15000;10000.0;Regelm‰ﬂig;Letzten Monat;0;r;Ja;Nein;Ja;0;08ca789b-fdb3-466d-97ff-986de9d1b8c8;4082;4802;8042;8402;2;2;3;3;2;2
1995;M‰nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;7;20;Selbst‰ndig;0;6;7;PHP Javascript;8000;6000;1000.0;Projekterfahrung;L‰nger als 1 Jahr her;0;r;Ja;Nein;Ja;0;0b38aa57-8d66-46be-bfb8-573ab548703a;4280;4280;4280;4280;0;0;0;0;0;0
1997;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;2;0;Nein;1;2;2;Haskell;2000;2000;500.0;Grundkenntnisse;Letzten Monat;0;r;Ja;Nein;Ja;0;2a020c38-c194-4a9e-9c74-d20a3c303cec;0428;8240;8204;2804;4;4;2;4;4;2
1995;M‰nnlich;Nein;Keine Angabe;Student;Abitur / Fachabitur;0;5;3;Studentische Hilfskraft;0;4;4;JavaScript CSS HTML Scala C GO;15000;15000;5000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;2d5a163b-7255-40f4-a466-fda7fda39b57;8240;8240;8240;4082;0;0;0;4;4;4
1990;M‰nnlich;Ja;Nein;Student;Abitur / Fachabitur;0;8;15;Nein;0;9;9;Go Python C;60000;60000;1500.0;Regelm‰ﬂig;Letzten Monat;0;r;Ja;Nein;Ja;0;340b02c1-6d18-472e-a606-6691e455637d;4082;8042;0842;2840;3;2;2;4;3;2
1970;M‰nnlich;Ja;Nein;Angestellt in der freien Wirtschaft;Master / Diplom;0;0;0;Nein;0;16;30;ABAP C C++ Modula-2 Lisp noch ein paar mehr;1.000.000;200.000;150.0;Projekterfahrung;L‰nger als 1 Jahr her;0;r;Ja;Nein;Nein;0;3432f575-9d7d-4600-a52b-cf682c33c2d7;8402;8204;8204;8204;2;2;0;2;0;0
1989;M‰nnlich;Ja;Nein;Student;Anderer Abschluss;0;3;5;Selbst‰ndig;0;3;5;C C++ Python VHDL;8000;8000;2000.0;Projekterfahrung;Letztes Jahr;0;r;Ja;Nein;Ja;0;37fa1096-5dfd-4de0-95c5-7faf8e02f999;8402;8402;8402;8402;0;0;0;0;0;0
1988;M‰nnlich;Nein;Nein;Student;Bachelor;0;3;15;Studentische Hilfskraft;0;10;15;Python Haskell C C++;250000;250000;50000.0;Regelm‰ﬂig;Diese Woche;0;r;Ja;Nein;Ja;0;3a03db20-3ac0-4220-8a6f-ebb73f052032;4280;2048;0248;8420;3;4;2;3;4;4
1995;M‰nnlich;Nein;Nein;Student;Abitur / Fachabitur;0;6;25;Nein;0;2;9;C# C C++ Rust Typescript;4000;4000;3500.0;Projekterfahrung;Letztes Jahr;0;r;Ja;Nein;Ja;0;3bf46f0d-cd2a-4b1a-aff9-a2859b4fc191;0428;2084;0284;8402;3;4;2;3;4;4
1980;M‰nnlich;Ja;Ja;Angestellt an der Universit‰t (kein HiWi);Master / Diplom;0;0;0;Nein;0;14;21;Python Shell C C# Basic;50000;50000;10000.0;Regelm‰ﬂig;Letzten Monat;0;r;Ja;Nein;Ja;0;43976856-0666-41bc-bd2a-a8f396ef561c;0482;0428;0428;8402;2;2;0;2;3;3
