Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
275090477,861548;939,287132962159;538,750336129406;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090490,008502;930,956545077439;516,187057181006;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090504,901922;878,43185271651;392,513773737127;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090519,966404;849,710629584831;340,947848380165;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090534,034936;835,283303967557;318,292844447467;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090549,492504;820,748882289921;292,242702503362;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090564,731603;816,50918500683;284,580557619554;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090579,222061;816,05606230774;287,279571685756;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090594,636962;813,161444624747;295,433492023461;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090624,95437;806,822393781974;291,401817949064;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090639,684235;805,20791800968;289,785060133647;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090654,718297;806,968772822454;291,231516465213;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090669,065743;811,924243560194;294,786291125445;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090684,582175;810,896441001312;287,743906433374;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090699,899891;747,880234347691;291,253806524964;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090714,10393;623,048494837344;294,653298121022;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090729,585991;604,225543012887;291,717221212628;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090744,679708;570,744856867911;295,236812333738;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090775,679782;515,923580690725;296,625492592486;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090789,950981;512,692082994215;296,589226774825;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090804,652006;513,71992890276;295,991005566317;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090820,719154;517,389632710498;295,156292006841;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090836,243092;518,540086041611;292,792278954502;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090849,757748;521,721853232355;289,673954381917;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090864,66302;523,489305321722;289,709522547575;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090879,879996;521,63486294143;290,124642023232;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090894,425762;517,043543753059;285,585004404611;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090926,41191;516,394184182511;285,456418371386;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090939,544147;514,626244783109;287,484600174126;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090955,542159;512,825230233768;286,823935497198;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090970,570295;514,261944367429;288,335350827113;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275090984,675568;514,645761174396;288,155938681611;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091000,171457;517,2485759304;295,477397390567;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091015,689074;522,45183680798;298,946486224804;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091029,714149;523,575661327487;301,416493034581;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091045,071767;539,432367204549;297,527630241745;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091076,231841;616,139683108259;267,808019524928;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091090,689114;639,103686170761;275,036932801726;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091106,150237;653,222894420038;276,11388285238;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091120,182028;662,283628253247;288,522630398954;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091135,6953;665,701966476405;288,898213818888;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091150,991683;668,365792989084;289,336603122972;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091165,100511;667,200802868683;289,452309325874;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091180,735067;660,994115502277;281,698293407595;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091195,719747;654,037093727296;279,572413914985;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091226,322389;658,544465334336;294,00751116101;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091240,333242;662,091873276803;293,756607844295;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091254,704391;661,949598479859;286,704670869929;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
275091270,13312;664,706294335873;281,287296794948;54ba2190-4790-4a18-904a-ad793e801388;Test;2;0
