Time;Gaze.X;GazeY;SubjectID;Snippet;Indentation;TrialNumber
60450075,2975505;1205,05986500195;682,555507734883;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450094,5797157;1211,2516028581;686,988664923937;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450103,8885515;1214,72179525162;687,527607738037;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450118,1479039;1215,05929991999;684,546386252161;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450133,7575768;1209,90277679021;678,120990212371;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450147,483201;1206,96096332158;681,324480831808;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450162,561516;1208,00098089622;683,144785759067;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450177,729115;1207,61106784643;683,761683965198;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450192,1480722;1205,43859923445;682,121532152216;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450223,6538376;1199,08350352541;677,099379348388;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450237,2996593;1196,73399270698;672,790837596585;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450252,6426656;1197,37969104153;673,00876218859;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450267,4554993;1193,4779198067;673,64911411882;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450282,9549499;1186,92021042789;673,686761244222;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450300,221511;1182,36752110082;663,492545112254;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450315,4226902;1178,13130615317;667,024240863974;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450329,6950796;1150,84540821464;630,160032497934;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450345,3252957;1143,32633373663;624,95807315613;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450375,9591601;858,586106186121;354,200905705247;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450390,6270062;810,362502539316;308,803628688364;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450405,6030003;764,895975722738;268,098441610828;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450419,620575;764,969041615844;269,62427364003;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450434,1422482;763,878248109766;268,548977660877;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450449,077946;761,210598395489;267,471972702974;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450463,7608044;753,570537115334;258,346391396398;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450479,1089465;733,788560280782;235,914094033948;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450494,5530886;682,978358499036;221,393817531568;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450524,1127806;644,417636668101;207,190025814734;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450537,672874;627,375500104954;202,461949283589;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450552,2348436;545,39569480443;175,96047233554;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450567,4289116;537,788093483329;172,973241042099;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450582,6364118;528,833055701175;173,106468934214;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450597,2663319;532,842783811338;171,694258425973;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450612,6472641;540,761780809542;172,088415777071;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450627,6568385;538,997437392022;172,234045280917;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450642,2018204;545,989219364151;172,974551273625;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450673,5337586;567,470207198847;173,002010431708;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450687,3980494;592,64865999097;174,225404048346;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450702,7122162;631,340023672839;176,287330467561;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450717,3437166;702,724245696956;198,329024836667;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450732,8850438;706,530623024264;194,277896103524;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450748,2877044;739,064751921426;200,347161881843;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450763,4007848;744,143230331029;203,273031348014;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450778,2543098;745,877571944194;203,029518942113;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450795,2502537;765,647854085586;205,623918750093;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450823,3573044;777,794789384621;190,530012603625;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450837,4823358;777,045885788405;191,109056237365;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450852,4871694;783,133878149582;188,076624233759;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450867,1882006;782,243616340636;188,05060464041;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450882,4992069;781,90330954935;187,405556021457;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450897,7426577;777,393001775187;191,697947149317;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450913,8761822;767,597532878595;200,270143794825;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450929,3922254;749,60817304396;208,663194465617;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450944,3259479;722,74516854068;218,806962548458;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450975,3256394;699,919423383279;248,465637194937;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60450989,1638561;697,007472702467;261,417885695118;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451003,7680973;646,506118564667;297,682775487229;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451019,0980665;668,849799346204;301,110825804792;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451034,4169741;659,879530462778;301,899021568345;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451048,8284252;647,173344599128;302,284729361054;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451063,4101478;646,267988256683;294,812281407819;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451077,4561669;650,721817685845;298,79825149125;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451092,4566548;723,016919776607;289,986716155878;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451124,4459755;778,160121372225;275,114377980332;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451137,5908592;815,979075651783;284,745444024591;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451153,1847296;857,69626088197;275,452469825571;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451168,2346002;867,033202707365;276,87253259317;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451183,0296561;873,360247266874;282,893065324176;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451198,8198721;873,341047802296;305,35787208258;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451214,9411497;873,695730414689;306,323661808319;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451227,3859842;874,634210796677;304,33011538481;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451242,610077;881,323517853906;298,520029328953;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451273,0953983;940,094254462439;315,57592070958;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451287,4317877;946,112178454444;311,439207309069;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451302,7269915;952,27690099383;296,711472708206;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451317,2024426;950,540315804381;303,601256539738;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451332,7101895;1014,35210045483;288,722250742069;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451347,7138379;1007,03576259245;292,186477928301;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451362,2679063;1030,85093588094;273,869271469407;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
60451377,7436532;1028,67175466766;266,129829949672;b2086a14-44bf-4a26-8261-f2679230b9a8;Program;2;0
